Original Bar date,Sales
8/1/2014,5
8/28/2014,3
9/4/2014,1
9/10/2014,1
9/11/2014,1
9/25/2014,1
9/26/2014,1
10/1/2014,2
10/5/2014,1
10/10/2014,1
10/16/2014,6
10/17/2014,1
10/28/2014,2
10/30/2014,2
10/31/2014,1
11/1/2014,1
11/6/2014,2
11/7/2014,1
11/17/2014,2
11/19/2014,2
11/20/2014,2
11/21/2014,1
11/25/2014,2
11/26/2014,2
11/28/2014,1
12/1/2014,3
12/2/2014,1
12/3/2014,1
12/4/2014,2
12/5/2014,1
12/11/2014,1
12/16/2014,2
12/17/2014,1
12/18/2014,1
12/23/2014,1
12/24/2014,1
1/8/2015,1
1/15/2015,2
1/21/2015,1
1/22/2015,1
2/5/2015,1
2/20/2015,1
3/23/2015,1
4/15/2015,2
4/16/2015,1
4/17/2015,1
4/23/2015,1
4/24/2015,3
4/30/2015,1
5/1/2015,2
5/4/2015,1
5/7/2015,2
5/15/2015,1
6/1/2015,2
6/2/2015,2
6/3/2015,1
6/4/2015,2
6/5/2015,1
6/6/2015,1
6/8/2015,1
6/16/2015,6
6/17/2015,2
6/19/2015,1
6/20/2015,1
6/26/2015,1
6/30/2015,4
7/1/2015,1
7/2/2015,1
7/10/2015,1
7/14/2015,1
8/3/2015,1
8/27/2015,1
8/28/2015,1
9/1/2015,1
9/10/2015,1
9/24/2015,1
9/28/2015,1
10/1/2015,3
10/7/2015,1
10/9/2015,1
10/15/2015,1
10/19/2015,4
10/28/2015,2
10/30/2015,2
11/1/2015,1
11/5/2015,5
11/6/2015,3
11/9/2015,1
11/16/2015,3
11/18/2015,1
11/19/2015,1
11/20/2015,3
11/23/2015,2
12/1/2015,2
12/3/2015,1
12/9/2015,1
12/15/2015,5
1/1/2016,2
2/25/2016,1
4/4/2016,1
4/28/2016,1
5/5/2016,1
5/26/2016,1
6/14/2016,1
6/16/2016,1
