Original bar date,Sales quantity
11/3/2014,1
11/4/2014,1
11/13/2014,1
11/19/2014,1
11/25/2014,1
12/1/2014,5
12/2/2014,2
12/4/2014,1
12/5/2014,2
12/11/2014,1
12/16/2014,2
1/12/2015,1
1/21/2015,1
2/25/2015,1
4/15/2015,1
4/18/2015,1
4/29/2015,1
4/30/2015,2
5/6/2015,1
5/7/2015,1
5/19/2015,2
5/22/2015,1
6/1/2015,1
6/2/2015,1
6/12/2015,1
6/16/2015,6
6/17/2015,1
6/19/2015,1
6/25/2015,1
6/30/2015,1
7/13/2015,1
8/28/2015,1
9/18/2015,2
9/20/2015,1
9/24/2015,1
10/1/2015,2
10/7/2015,1
10/19/2015,1
11/5/2015,4
11/9/2015,1
12/15/2015,3
1/1/2016,1
1/29/2016,1
4/8/2016,1
6/1/2016,1
6/14/2016,1
