Original Bar Date,Sales Quantity
6/1/2015,1
6/3/2015,1
6/8/2015,1
7/2/2015,1
7/7/2015,1
9/18/2015,1
9/22/2015,1
9/28/2015,1
10/1/2015,1
10/15/2015,1
10/16/2015,1
10/19/2015,1
10/22/2015,1
10/30/2015,3
11/15/2015,1
11/17/2015,1
12/2/2015,2
1/1/2016,1
4/27/2016,1
,650
