Original bar date,Sales
12/1/2014,2
12/3/2014,1
12/5/2014,1
12/16/2014,3
12/17/2014,1
12/22/2014,1
1/21/2015,1
4/14/2015,1
4/18/2015,1
4/21/2015,1
4/29/2015,1
4/30/2015,1
5/1/2015,1
5/6/2015,1
5/18/2015,1
5/19/2015,1
5/20/2015,1
6/1/2015,1
6/2/2015,1
6/8/2015,1
6/12/2015,1
6/15/2015,1
6/16/2015,3
6/22/2015,1
6/24/2015,1
6/29/2015,1
6/30/2015,1
7/2/2015,1
7/13/2015,1
8/28/2015,1
9/15/2015,1
9/16/2015,2
9/23/2015,1
9/24/2015,1
9/25/2015,1
9/29/2015,1
10/1/2015,2
10/7/2015,1
10/19/2015,1
10/22/2015,1
11/2/2015,1
12/2/2015,2
12/4/2015,1
1/1/2016,1
1/29/2016,1
3/4/2016,1
5/23/2016,1
